	Engels	Zweeds
rijstrook	lane	fil, körfält
rondreis	round trip	rundresa
rots	rock	klippa
rundvlees	beef	oxkött
sauna	sauna	bastu
scheermesje	razor blade	rakblad
schoensmeer	shoe polish	skokräm
schouwburg	theatre	teater
schrijven	write	skriva
shag	rolling tobacco	rulltobak
sinaasappelsap	orange juice	apelsinjuice
skipas	lift pass	liftkort
slaapwagen	sleeping car	sovvagn
slee	sledge	släde, kälke
slokdarm	gullet	matstrupe
snel	fast	snabb
soa	S.T.D.	könssjukdom
specialist	specialist	specialist
spellen	spell	stava
spoorboekje	timetable	tågtidtabel
spullen	things	saker, grejor
starten	start	starta
stilte	silence	tystnad
storen	disturb	störa
strijkbout	iron	strykjärn
stuk (kapot)	broken	sönder, trasig
surfplank	surf board	vindsurfingbräda
tafeltennissen	play table tennis	spela bordtennis
tas (groot)	bag	väska
tekenen (signeren)	sign	signera, skriva under, underteckna
telelens	telephoto lens	teleobjektiv
tentzeil	canvas	tältduk
thee	tea	te
tijdschrift	magazine	tidskrift, tidning
toeristenkaart	tourist card	turistkort
tolweg	toll road	betalväg
totaal	total	total
trottoir	pavement	trottoar, gångbana
tweepersoons	double	dubbel, tvåpersons
uitlaatpijp	exhaust pipe	avgasrör
uitleggen	explain	förklarra
uitverkoop	sale	rea(lisation), utförsäljning
vaas	vase	vas
vanavond (tot 21 uur)	this evening	i kväll
veel	much, many	mycket, många
ventiel	valve	ventil
verdoven	anaesthetize	bedöva
vergunning	permit	tillstånd
verlengen	extend	förlänga
verschonen (baby)	change the baby's nappy	byta blöjor
vertrekken	leave	resa, avgå
vest	cardigan	kofta
vies	dirty	äcklig, smutsig, inte ren
vitaminetabletten	vitamin tablets	vitaminpiller
vliegen	fly	flyga
voedsel	food	mat
vol	full	full
voorhoofd	forehead	panna
voorvork	fork	framgaffel
vriend	friend	vän
vrijwilligerswerk	voluntary work	volontärarbete
vulling	filling	fyllning
wachtkamer	waiting room	väntrum, väntsal
wanneer?	when?	när?
wassen	wash	tvätta
watten	cotton wool	bomull
weekabonnement	weekly ticket	veckokort
wegwerkzaamheden	roadworks	vägarbete
werk	work	arbete
wij	we	vi
winkelstraat	shopping street	shoppinggata
wonen	live	bo
zakdoek	handkerchief	näsduk
zeeppoeder	washing powder	tvättmedel
ziekenhuis	hospital	sjukhus
zitten	sit	sitta
zonnebril	sunglasses	solglasögon
zout	salt	salt
zwanger	pregnant	gravid
zwemvest	life jacket	flytväst
